Course	Room	Teacher	Time	Students
28	2	25	42	16 44 60 68 81 153 178 205 241 273 277
61	2	51	43	33 73 108 116 125 174 329 371 377 403 453
65	2	55	44	36 122 179 212 259 314 374 399 428 495 498
71	2	31	45	40 131 141 156 198 209 372 384 436 513 514
110	2	85	46	79 202 283 292 298 369 502 514 533 581 728
112	2	1	47	80 126 206 338 343 429 480 508 675 779 811
189	2	112	48	277 379 435 552 559 578 594 614 792 830 833
216	2	64	49	373 547 832 858 862 884 1006 1045 1087 1091 1097
1	2	1	50	1 16 90 126 165 191 206 293 338 343
8	2	8	51	4 273 297 423 443 459 529 613 667 986
43	2	38	52	24 91 106 159 192 235 243 321 420 446
74	2	62	53	41 46 484 691 795 943 993 1048 1057 1069
129	2	28	54	96 97 179 208 237 282 397 428 543 995
145	2	39	55	129 370 390 407 624 840 876 978 985 999
177	2	114	56	216 234 293 334 373 526 548 694 725 1056
194	2	99	57	292 294 637 736 776 814 1056 1060 1076 1102
211	2	128	58	360 654 706 726 745 948 996 1054 1055 1068
220	3	94	0	406 508 557 655 675 784 811 893 938 1085
44	3	39	1	24 172 248 487 694 853 905 932 943
64	3	54	2	36 39 235 359 389 441 462 517 583
70	3	59	3	38 84 116 204 300 391 462 528 554
84	3	69	4	52 94 110 130 163 189 190 224 344
93	3	77	5	58 121 140 497 546 612 623 1017 1076
101	3	32	6	62 105 132 162 333 352 441 452 535
123	3	85	7	91 164 185 212 318 350 381 419 454
131	3	96	8	99 163 304 305 331 352 439 580 851
141	3	76	9	118 218 298 330 358 666 685 853 958
166	3	111	10	191 274 293 355 361 412 729 737
181	3	112	11	226 317 374 415 431 434 437 497 574
72	3	60	12	40 237 490 577 622 662 954 1049
144	3	19	14	129 467 893 937 946 1069 1098 1102
151	3	23	13	146 220 429 477 480 530 768 806
160	3	107	15	177 246 251 320 358 401 532 618
173	3	112	16	211 386 516 527 620 750 762 1039
185	3	63	17	258 297 561 607 658 760 860 934
188	3	118	18	276 422 534 637 872 878 1052 1075
224	3	124	19	479 723 763 804 901 941 1022 1098
2	3	2	20	2 18 43 56 144 378 392
16	3	16	21	11 176 311 387 442 451 578
27	3	24	22	16 20 111 153 161 192 434
41	3	36	23	23 35 200 207 286 302 303
50	3	43	24	26 33 427 592 621 785 846
99	3	80	25	61 188 224 225 278 384 657
104	3	11	26	66 187 365 432 632 650 790
126	3	93	27	94 171 189 224 350 513 692
138	3	43	28	111 135 251 252 268 382 424
157	3	86	29	168 261 432 823 824 833 1086
161	3	108	30	177 198 388 419 603 676 928
163	3	85	31	185 190 392 598 600 719 1041
202	3	8	32	312 483 496 680 718 789 865
214	3	25	33	368 431 497 857 878 911 1068
230	3	58	34	597 606 660 706 710 740 741
234	3	75	35	707 864 885 1016 1032 1091 1097
9	3	9	36	4 50 112 227 235 329
55	3	47	37	29 116 174 214 281 313
88	3	72	38	55 114 211 240 339 344
90	3	74	39	57 154 234 280 388 820
117	3	87	40	85 433 506 575 585 823
119	3	89	41	87 152 229 264 269 308
134	3	22	42	105 175 223 334 387 442
135	3	22	43	105 175 223 334 387 442
152	3	100	44	147 290 298 596 661 820
159	3	106	45	171 178 220 395 532 861
176	3	113	46	213 433 437 511 588 831
196	3	121	47	299 304 792 800 866 886
206	3	105	48	328 596 646 691 737 869
238	3	115	49	830 1008 1011 1017 1038 1093
13	3	13	50	7 58 119 151 377
86	3	71	51	54 113 151 180 458
108	3	39	52	78 81 216 349 982
184	3	116	53	254 415 538 581
186	3	117	54	274 355 412 413 492
204	3	124	55	320 578 642 689 1016
210	3	127	56	356 646 663 688 737
225	3	103	57	491 603 740 805 992
233	3	120	58	653 771 775 778 857
11	4	11	0	5 481 705 802
12	4	12	1	6 154 164 232
21	4	20	2	14 129 146 172
23	4	21	3	14 240 323 553
30	4	27	4	17 104 966 1077
38	4	34	5	21 76 119 152
69	4	58	6	38 204 391 462
92	4	76	7	57 62 157 202
109	4	70	9	79 132 305 313
128	4	94	8	95 118 165 573
130	4	95	10	99 565 744 803
139	4	43	11	112 135 309 492
162	4	92	12	182 254 626 754
169	4	30	13	199 331 803 1063
170	4	91	14	202 205 249 340
195	4	120	15	295 363 611 810
201	4	49	16	312 543 718 969
215	4	119	17	371 575 618 704
239	4	120	18	860 881 927 989
53	4	13	19	29 521 704
59	4	27	20	32 830 831
91	4	75	21	57 170 444
98	4	42	22	61 151 262
111	4	68	23	80 179 1052
127	4	85	24	94 189 673
136	4	27	25	107 527 545
149	4	70	26	137 224 646
155	4	103	27	157 169 170
164	4	109	28	187 297 413
167	4	23	29	193 410 674
171	4	80	30	555 797
179	4	115	31	219 245 1101
192	4	94	32	279 390 477
197	4	97	33	301 628 1085
207	4	126	34	332 738 805
213	4	119	35	367 599 823
219	4	23	36	394 402 673
232	4	121	37	620 838 851
46	4	41	38	25 278
114	4	68	39	80 432
125	4	66	40	92 304
146	4	99	41	129 154
165	4	110	42	187 413
174	4	106	43	212 350
190	4	119	44	279 696
193	4	38	45	283 725
199	4	122	46	306 716
203	4	123	47	316 622
208	4	123	48	340 393
222	4	110	49	412 473
227	4	95	50	565 834
76	4	63	51	43
137	4	72	52	110
191	4	20	53	279
198	4	113	54	304
200	4	2	55	309
221	4	68	56	410
223	4	119	57	433
226	4	6	58	553
231	5	27	0	616
236	5	74	1	760
237	5	64	3	778
240	5	76	2	864
241	5	132	4	1012
